iter	Passed	Remaining
233	3121	10219
234	3134	10205
235	3151	10201
236	3164	10188
237	3178	10177
238	3191	10162
239	3204	10146
240	3217	10133
241	3231	10121
242	3245	10110
243	3256	10090
244	3269	10076
245	3282	10061
246	3296	10050
247	3309	10035
248	3322	10021
249	3335	10006
250	3349	9994
251	3362	9980
252	3375	9967
253	3387	9949
254	3399	9932
255	3412	9917
256	3426	9906
257	3439	9891
258	3452	9877
259	3466	9865
260	3479	9852
261	3492	9838
262	3506	9825
263	3518	9810
264	3531	9794
265	3544	9780
266	3557	9766
267	3570	9751
268	3582	9735
269	3596	9723
270	3608	9707
271	3620	9689
272	3633	9675
273	3646	9661
274	3657	9643
275	3670	9628
276	3683	9614
277	3696	9599
278	3709	9585
279	3720	9567
280	3733	9552
281	3746	9538
282	3758	9523
283	3770	9505
284	3781	9488
285	3794	9473
286	3807	9458
287	3819	9442
288	3832	9427
289	3844	9411
290	3855	9393
291	3867	9377
292	3879	9362
293	3892	9348
294	3906	9335
295	3919	9321
296	3930	9302
297	3942	9287
298	3954	9272
299	3968	9260
300	3981	9245
301	3993	9230
302	4005	9214
303	4018	9200
304	4031	9187
305	4044	9172
306	4057	9159
307	4070	9145
308	4083	9131
309	4096	9118
310	4110	9105
311	4124	9094
312	4137	9081
313	4154	9075
314	4169	9066
315	4183	9054
316	4196	9041
317	4209	9027
318	4221	9012
319	4234	8999
320	4246	8983
321	4259	8969
322	4273	8956
323	4285	8941
324	4298	8927
325	4310	8910
326	4323	8898
327	4337	8886
328	4352	8876
329	4366	8865
330	4380	8854
331	4392	8838
332	4405	8823
333	4418	8811
334	4431	8797
335	4444	8783
336	4457	8770
337	4470	8756
338	4481	8739
339	4493	8722
340	4505	8707
341	4519	8694
342	4532	8681
343	4544	8666
344	4556	8651
345	4568	8634
346	4580	8620
347	4594	8607
348	4606	8592
349	4618	8577
350	4631	8564
351	4644	8549
352	4657	8535
353	4671	8524
354	4684	8510
355	4697	8498
356	4710	8484
357	4722	8469
358	4736	8456
359	4750	8444
360	4764	8433
361	4777	8419
362	4789	8404
363	4802	8390
364	4815	8376
365	4828	8364
366	4841	8351
367	4853	8335
368	4865	8320
369	4879	8308
370	4892	8294
371	4905	8282
372	4918	8267
373	4931	8253
374	4944	8240
375	4956	8224
376	4968	8210
377	4979	8194
378	4992	8180
379	5005	8167
380	5018	8153
381	5031	8140
382	5045	8127
383	5057	8112
384	5068	8096
385	5081	8083
386	5093	8068
387	5105	8052
388	5118	8038
389	5130	8025
390	5146	8015
391	5160	8004
392	5173	7991
393	5187	7978
394	5201	7966
395	5214	7952
396	5227	7939
397	5240	7927
398	5253	7913
399	5265	7898
400	5279	7886
401	5292	7872
402	5303	7856
403	5314	7840
404	5327	7826
405	5338	7810
406	5350	7795
